sample_name,species,AMC (disk),AMK (disk),AMK (mic),AMK (vitek),AMP (vitek),AMX (disk),AMX (vitek),ATM (disk),ATM (vitek),CAZ (disk),CAZ (mic),CAZ (vitek),CHL (vitek),CIP (disk),CIP (vitek),COL (mic),CRO (mic),CRO (vitek),CTX (disk),CTX (mic),CTX (vitek),CXM (vitek),CZA (disk),CZA (vitek),CZT (disk),CZT (vitek),ETP (disk),ETP (mic),ETP (vitek),FEP (disk),FEP (mic),FEP (vitek),FOS (disk),FOX (disk),FOX (vitek),GEN (disk),GEN (mic),GEN (vitek),IPM (disk),IPM (mic),IPM (vitek),LVX (disk),LVX (vitek),MEC (disk),MEM (disk),MEM (mic),MEM (vitek),NAL (vitek),NET (disk),OFX (vitek),PIP (vitek),PRL (disk),SXT (disk),SXT (vitek),TCC (disk),TCC (vitek),TGC (disk),TGC (vitek),TIC (disk),TIC (vitek),TOB (disk),TOB (vitek),TZP (disk),TZP (mic),TZP (vitek),AMC (disk) cat,AMK (disk) cat,AMK (mic) cat,AMK (vitek) cat,AMP (vitek) cat,AMX (disk) cat,AMX (vitek) cat,ATM (disk) cat,ATM (vitek) cat,CAZ (disk) cat,CAZ (mic) cat,CAZ (vitek) cat,CHL (vitek) cat,CIP (disk) cat,CIP (vitek) cat,COL (mic) cat,CRO (mic) cat,CRO (vitek) cat,CTX (disk) cat,CTX (mic) cat,CTX (vitek) cat,CXM (vitek) cat,CZA (disk) cat,CZA (vitek) cat,CZT (disk) cat,CZT (vitek) cat,ETP (disk) cat,ETP (mic) cat,ETP (vitek) cat,FEP (disk) cat,FEP (mic) cat,FEP (vitek) cat,FOS (disk) cat,FOX (disk) cat,FOX (vitek) cat,GEN (disk) cat,GEN (mic) cat,GEN (vitek) cat,IPM (disk) cat,IPM (mic) cat,IPM (vitek) cat,LVX (disk) cat,LVX (vitek) cat,MEC (disk) cat,MEM (disk) cat,MEM (mic) cat,MEM (vitek) cat,NAL (vitek) cat,NET (disk) cat,OFX (vitek) cat,PIP (vitek) cat,PRL (disk) cat,SXT (disk) cat,SXT (vitek) cat,TCC (disk) cat,TCC (vitek) cat,TGC (disk) cat,TGC (vitek) cat,TIC (disk) cat,TIC (vitek) cat,TOB (disk) cat,TOB (vitek) cat,TZP (disk) cat,TZP (mic) cat,TZP (vitek) cat
KLEPNE50,Klebsiella pneumoniae,10.0,25.0,1.0,2.0,16.0,6.0,16.0,6.0,32.0,6.0,32.0,32.0,16.0,13.0,2.0,0.5,16.0,32.0,9.0,8.0,4.0,32.0,11.0,8.0,11.0,16.0,21.0,1.0,0.5,16.0,8.0,16.0,22.0,20.0,4.0,24.0,0.25,1.0,23.0,4.0,8.0,13.0,4.0,6.0,25.0,0.5,4.0,16.0,25.0,4.0,64.0,6.0,25.0,20.0,11.0,64.0,21.0,,6.0,64.0,24.0,1.0,8.0,64.0,64.0,R,S,S,S,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,R,R,R,S,S,U,R,S,R,R,R,S,R,R,R,S,NA,R,R,S,S,R,R,R
SERMAR13,Serratia marcescens marcescens,6.0,23.0,2.0,,,6.0,,30.0,2.0,28.0,0.25,1.0,,28.0,,8.0,0.06,0.25,28.0,0.12,1.0,,26.0,0.12,25.0,0.25,25.0,8.0,,30.0,0.06,0.12,31.0,15.0,,21.0,0.5,1.0,6.0,16.0,,28.0,0.12,22.0,22.0,4.0,,,14.0,,4.0,25.0,20.0,,23.0,,22.0,,18.0,,16.0,,25.0,2.0,,R,S,S,NA,NA,R,NA,S,U,S,S,S,NA,S,NA,R,S,S,S,S,S,NA,S,S,S,S,S,R,NA,S,S,S,S,R,NA,S,S,S,R,R,NA,S,S,S,S,U,NA,NA,U,NA,S,S,S,NA,S,NA,S,NA,R,NA,R,NA,S,S,NA
COLI102,Escherichia coli,,,2.0,2.0,16.0,,,,16.0,,8.0,16.0,4.0,,0.25,0.5,2.0,32.0,,2.0,32.0,32.0,,0.12,,4.0,,0.06,0.5,,16.0,16.0,,,4.0,,0.5,1.0,,0.25,0.25,,0.12,,,0.06,0.25,16.0,,0.25,64.0,,,20.0,,64.0,,0.5,,64.0,,1.0,,4.0,64.0,NA,NA,S,S,R,NA,NA,NA,R,NA,R,R,S,NA,S,S,R,R,NA,R,R,R,NA,S,NA,R,NA,S,R,NA,R,R,NA,NA,S,NA,S,S,NA,S,S,NA,S,NA,NA,S,S,R,NA,S,R,NA,NA,R,NA,R,NA,R,NA,R,NA,S,NA,S,R
KLEPNE61,Klebsiella pneumoniae,6.0,18.0,4.0,16.0,16.0,6.0,16.0,6.0,32.0,6.0,32.0,32.0,32.0,6.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,32.0,6.0,8.0,6.0,16.0,10.0,8.0,,9.0,32.0,16.0,19.0,6.0,32.0,23.0,0.5,1.0,18.0,16.0,8.0,6.0,4.0,6.0,16.0,16.0,,16.0,9.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,18.0,,6.0,64.0,12.0,8.0,6.0,64.0,64.0,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,S,S,S,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R
KLEPNE71,Klebsiella pneumoniae,6.0,21.0,8.0,32.0,16.0,6.0,16.0,6.0,32.0,6.0,32.0,32.0,32.0,6.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,32.0,6.0,8.0,6.0,16.0,6.0,8.0,4.0,6.0,32.0,16.0,20.0,6.0,32.0,25.0,0.5,2.0,6.0,16.0,8.0,6.0,4.0,12.0,6.0,32.0,8.0,16.0,13.0,4.0,64.0,6.0,23.0,20.0,6.0,64.0,22.0,,6.0,64.0,10.0,8.0,6.0,64.0,64.0,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,R,R,R,R,R,R,R,R,U,R,R,R,S,R,R,R,S,NA,R,R,R,R,R,R,R
PANAGG9,Pantoea agglomerans,,,0.06,2.0,,,,,1.0,,0.06,1.0,0.12,,2.0,0.5,0.12,1.0,,0.06,1.0,,,0.12,,0.5,,0.5,0.5,,0.06,0.12,,,8.0,,0.12,1.0,,0.5,0.25,,20.0,,,0.06,0.25,,,,4.0,,,,,8.0,,0.25,,64.0,,1.0,,1.0,4.0,NA,NA,S,S,NA,NA,NA,NA,S,NA,S,S,S,NA,R,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,R,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,S,NA,R,NA,S,NA,S,S
PANSEP1,Pantoea septica,,,0.25,2.0,,,,,1.0,,0.5,1.0,0.12,,2.0,0.5,0.25,0.25,,0.5,1.0,,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,32.0,,0.12,1.0,,0.5,0.25,,20.0,,,0.06,0.25,,,,8.0,,,,,16.0,,0.25,,64.0,,1.0,,2.0,8.0,NA,NA,S,S,NA,NA,NA,NA,S,NA,S,S,S,NA,R,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,S,NA,S,NA,R,NA,S,NA,S,R
PANPLE1,Pantoea,,,0.25,2.0,,,,,1.0,,0.12,1.0,0.12,,2.0,0.5,0.06,0.25,,0.06,1.0,,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,32.0,,0.12,1.0,,0.5,0.25,,20.0,,,0.06,0.25,,,,4.0,,,,,8.0,,0.25,,8.0,,1.0,,1.0,4.0,NA,NA,S,S,NA,NA,NA,NA,S,NA,S,S,S,NA,R,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,S,NA,S,NA,S,NA,S,S
PANAGG8,Pantoea agglomerans,,,0.25,2.0,,,,,1.0,,0.12,1.0,0.12,,2.0,0.5,0.06,0.25,,0.06,1.0,,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,32.0,,0.12,1.0,,0.5,0.5,,20.0,,,0.06,0.25,,,,4.0,,,,,8.0,,0.25,,16.0,,1.0,,1.0,,NA,NA,S,S,NA,NA,NA,NA,S,NA,S,S,S,NA,R,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,S,NA,R,NA,S,NA,S,NA
SALENT6,Salmonella enterica enterica,,,1.0,2.0,2.0,,,,1.0,,0.5,1.0,0.12,,2.0,1.0,0.12,0.25,,0.12,1.0,,,0.25,,0.25,,0.06,0.5,,0.12,0.12,,,4.0,,0.25,1.0,,0.25,0.25,,20.0,,,0.06,0.25,,,,4.0,,,,,8.0,,,,8.0,,1.0,,4.0,4.0,NA,NA,S,S,S,NA,NA,NA,S,NA,S,S,S,NA,R,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,S,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,NA,NA,S,NA,S,NA,S,S
KLEQUA6,Klebsiella quasipneumoniae similipneumoniae,,,1.0,2.0,16.0,,,,1.0,,32.0,4.0,4.0,,16.0,0.5,4.0,0.25,,8.0,1.0,32.0,,0.25,,0.25,,0.25,0.5,,0.5,0.12,,,32.0,,0.5,1.0,,1.0,0.25,,20.0,,,0.06,0.25,,,,64.0,,,,,64.0,,1.0,,64.0,,1.0,,64.0,8.0,NA,NA,S,S,R,NA,NA,NA,S,NA,R,R,S,NA,R,S,R,S,NA,R,S,R,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,R,NA,R,NA,S,NA,R,R
KLEVAR4,Klebsiella variicola,,,1.0,,16.0,,,,,,16.0,16.0,,,,0.5,1.0,8.0,,4.0,4.0,32.0,,0.12,,0.25,,0.25,0.5,,0.06,0.12,,,32.0,,0.25,1.0,,0.25,0.25,,,,,0.25,0.25,,,,64.0,,,,,64.0,,,,64.0,,,,8.0,4.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,R,R,NA,NA,NA,S,S,R,NA,R,R,R,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,NA,NA,R,S
KLEQUA1,Klebsiella quasipneumoniae quasipneumoniae,,,0.5,2.0,16.0,,,,1.0,,32.0,16.0,1.0,,,0.5,4.0,1.0,,16.0,2.0,32.0,,0.12,,0.25,,0.5,0.5,,0.06,0.12,,,32.0,,0.25,1.0,,0.5,0.25,,160.0,,,0.06,0.25,,,,64.0,,,,,64.0,,,,64.0,,1.0,,64.0,8.0,NA,NA,S,S,R,NA,NA,NA,S,NA,R,R,S,NA,NA,S,R,S,NA,R,R,R,NA,S,NA,S,NA,R,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,NA,NA,R,NA,S,NA,R,R
CITFRE55,Citrobacter freundii,6.0,17.0,8.0,32.0,,6.0,,22.0,16.0,6.0,32.0,32.0,32.0,18.0,2.0,1.0,16.0,32.0,6.0,16.0,32.0,,6.0,0.12,6.0,16.0,17.0,8.0,0.5,21.0,16.0,8.0,31.0,6.0,32.0,22.0,0.5,1.0,28.0,2.0,0.25,13.0,4.0,19.0,18.0,8.0,,16.0,6.0,4.0,64.0,16.0,24.0,20.0,17.0,32.0,21.0,,6.0,64.0,11.0,8.0,16.0,8.0,16.0,R,R,R,R,NA,R,NA,U,R,R,R,R,R,R,R,S,R,R,R,R,R,NA,R,S,R,R,R,R,R,R,R,R,S,R,R,S,S,S,S,S,S,R,R,S,U,R,NA,R,R,R,R,R,S,R,S,R,S,NA,R,R,R,R,R,R,R
SERMAR14,Serratia marcescens,6.0,13.0,32.0,8.0,,6.0,16.0,44.0,1.0,6.0,32.0,32.0,,25.0,1.0,8.0,16.0,32.0,6.0,16.0,32.0,,6.0,8.0,6.0,16.0,24.0,0.5,,21.0,8.0,16.0,44.0,6.0,32.0,6.0,16.0,8.0,27.0,2.0,,21.0,4.0,19.0,24.0,0.5,,16.0,6.0,4.0,64.0,21.0,22.0,20.0,6.0,,26.0,,6.0,64.0,6.0,8.0,25.0,2.0,8.0,R,R,R,R,NA,R,R,S,S,R,R,R,NA,S,R,R,R,R,R,R,R,NA,R,R,R,R,S,R,NA,R,R,R,S,R,R,R,R,R,S,S,NA,U,R,S,S,S,NA,R,R,R,R,S,S,R,R,NA,S,NA,R,R,R,R,S,S,R
KLEQUA5,Klebsiella quasipneumoniae similipneumoniae,10.0,24.0,4.0,4.0,16.0,6.0,16.0,42.0,1.0,6.0,32.0,32.0,16.0,20.0,1.0,0.5,16.0,32.0,12.0,16.0,8.0,32.0,9.0,8.0,6.0,16.0,21.0,1.0,,22.0,4.0,2.0,24.0,6.0,32.0,6.0,16.0,8.0,33.0,0.5,8.0,16.0,2.0,25.0,26.0,0.5,,16.0,6.0,2.0,64.0,14.0,6.0,160.0,16.0,64.0,20.0,,6.0,64.0,12.0,8.0,17.0,16.0,64.0,R,S,S,S,R,R,R,S,S,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,U,R,R,R,R,R,R,S,S,R,R,R,S,S,S,NA,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
KLEMIC1,Klebsiella michiganensis,6.0,26.0,1.0,2.0,16.0,6.0,16.0,23.0,16.0,6.0,32.0,32.0,32.0,45.0,0.25,0.5,16.0,32.0,6.0,16.0,32.0,32.0,6.0,8.0,6.0,16.0,24.0,0.5,2.0,18.0,16.0,16.0,25.0,6.0,32.0,6.0,16.0,8.0,29.0,0.5,8.0,39.0,0.12,19.0,27.0,0.5,,2.0,12.0,0.25,64.0,6.0,31.0,20.0,12.0,64.0,28.0,,6.0,64.0,10.0,8.0,20.0,4.0,8.0,R,S,S,S,R,R,R,U,R,R,R,R,R,S,S,S,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,S,R,R,R,R,R,S,S,R,S,S,S,S,S,NA,S,R,S,R,R,S,R,R,R,S,NA,R,R,R,R,R,S,R
KLEPNE33,Klebsiella pneumoniae,6.0,27.0,1.0,2.0,16.0,6.0,16.0,19.0,16.0,12.0,16.0,8.0,2.0,30.0,0.25,0.5,16.0,32.0,6.0,16.0,32.0,32.0,29.0,0.12,24.0,2.0,26.0,0.5,,17.0,16.0,16.0,22.0,29.0,4.0,27.0,0.25,1.0,30.0,0.5,2.0,25.0,1.0,24.0,31.0,0.5,2.0,,27.0,,64.0,6.0,6.0,160.0,6.0,64.0,25.0,,6.0,64.0,26.0,1.0,14.0,64.0,64.0,R,S,S,S,R,R,R,R,R,R,R,R,S,S,S,S,R,R,R,R,R,R,S,S,S,R,S,R,NA,R,R,R,R,S,S,S,S,S,S,S,S,S,R,S,S,S,S,NA,S,NA,R,R,R,R,R,R,S,NA,R,R,S,S,R,R,R
KLEPNE49,Klebsiella pneumoniae,6.0,21.0,4.0,2.0,16.0,6.0,16.0,6.0,32.0,6.0,32.0,32.0,16.0,6.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,32.0,17.0,8.0,6.0,16.0,17.0,4.0,4.0,11.0,32.0,16.0,22.0,12.0,16.0,6.0,16.0,8.0,26.0,8.0,8.0,6.0,4.0,6.0,20.0,4.0,8.0,16.0,6.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,24.0,,6.0,64.0,6.0,8.0,6.0,64.0,64.0,R,S,S,S,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,U,U,R,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
CITFRE56,Citrobacter freundii,6.0,6.0,64.0,32.0,,6.0,16.0,6.0,32.0,6.0,32.0,32.0,4.0,6.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,,6.0,8.0,6.0,16.0,6.0,8.0,4.0,6.0,32.0,16.0,31.0,6.0,32.0,6.0,16.0,8.0,15.0,8.0,2.0,6.0,4.0,6.0,10.0,32.0,8.0,16.0,6.0,4.0,64.0,6.0,6.0,40.0,6.0,64.0,21.0,,6.0,64.0,6.0,8.0,6.0,64.0,64.0,R,R,R,R,NA,R,R,R,R,R,R,R,S,R,R,S,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
